"Date","Open","High","Low","Close"
"3/16/2019 22:00","141.04","141.04","140.19","140.73"
"3/16/2019 23:00","140.73","140.86","140.56","140.62"
"3/17/2019 0:00","140.62","140.62","137.22","138.08"
"3/17/2019 1:00","138.08","138.59","137.85","138.53"
"3/17/2019 2:00","138.53","138.53","136.75","137.03"
"3/17/2019 3:00","137.03","137.46","136.95","137.29"
"3/17/2019 4:00","137.29","137.29","136.79","137.06"
"3/17/2019 5:00","137.06","137.72","137.06","137.72"
"3/17/2019 6:00","137.72","137.94","137.4","137.64"
"3/17/2019 7:00","137.64","138.12","137.64","138.12"
"3/17/2019 8:00","138.12","138.28","138.12","138.28"
"3/17/2019 9:00","138.28","138.28","137.54","137.54"
"3/17/2019 10:00","137.54","138.91","137.54","138.46"
"3/17/2019 11:00","138.46","138.67","138.21","138.29"
"3/17/2019 12:00","138.29","138.35","137.88","138.3"
"3/17/2019 13:00","138.3","138.38","138.11","138.38"
"3/17/2019 14:00","138.38","140.34","138.38","138.78"
"3/17/2019 15:00","138.78","139.07","138.6","139.07"
"3/17/2019 16:00","139.07","140.79","137.8","138.17"
"3/17/2019 17:00","138.17","138.31","137.95","138.14"
"3/17/2019 18:00","138.14","138.46","138.14","138.25"
"3/17/2019 19:00","138.25","138.56","138.24","138.4"
"3/17/2019 20:00","138.4","139.14","138.4","139.07"
"3/17/2019 21:00","139.07","139.19","138.57","138.71"
"3/17/2019 22:00","138.71","138.95","138.18","138.3"
"3/17/2019 23:00","138.3","138.3","138.01","138.11"
"3/18/2019 0:00","138.11","139.56","137.94","139.56"
"3/18/2019 1:00","139.56","141.2","139.56","139.9"
"3/18/2019 2:00","139.9","140.12","139.67","139.99"
"3/18/2019 3:00","139.99","140.11","139.57","139.58"
"3/18/2019 4:00","139.58","139.83","139.4","139.4"
"3/18/2019 5:00","139.4","139.4","135.98","135.99"
"3/18/2019 6:00","135.99","137.34","135.92","137.27"
"3/18/2019 7:00","137.27","137.27","136.41","137.04"
"3/18/2019 8:00","137.04","137.5","136.93","137.47"
"3/18/2019 9:00","137.47","137.48","137.03","137.09"
"3/18/2019 10:00","137.09","137.2","136.47","136.59"
"3/18/2019 11:00","136.59","137.03","135.57","136.72"
"3/18/2019 12:00","136.72","137.46","136.72","136.96"
"3/18/2019 13:00","136.96","137.22","136.82","136.91"
"3/18/2019 14:00","136.91","136.91","136.42","136.54"
"3/18/2019 15:00","136.54","137.1","136.54","137.05"
"3/18/2019 16:00","137.05","137.29","136.73","137.08"
"3/18/2019 17:00","137.08","137.14","136.7","136.92"
"3/18/2019 18:00","136.92","137.33","136.92","137.18"
"3/18/2019 19:00","137.18","137.18","136.47","136.74"
"3/18/2019 20:00","136.74","137.4","136.74","137.31"
"3/18/2019 21:00","137.31","137.83","137.1","137.76"
"3/18/2019 22:00","137.76","137.76","137.29","137.34"
"3/18/2019 23:00","137.34","137.44","136.96","137"
"3/19/2019 0:00","137","138.12","136.76","138.08"
"3/19/2019 1:00","138.08","138.62","137.52","137.56"
"3/19/2019 2:00","137.56","137.91","137.56","137.57"
"3/19/2019 3:00","137.57","137.57","137.13","137.13"
"3/19/2019 4:00","137.13","137.32","136.27","136.52"
"3/19/2019 5:00","136.52","136.99","136.52","136.73"
"3/19/2019 6:00","136.73","137.07","136.65","136.65"
"3/19/2019 7:00","136.65","137.01","136.65","136.94"
"3/19/2019 8:00","136.94","136.94","136.67","136.85"
"3/19/2019 9:00","136.85","137.76","136.85","137.52"
"3/19/2019 10:00","137.52","137.9","137.2","137.37"
"3/19/2019 11:00","137.37","137.72","137.14","137.14"
"3/19/2019 12:00","137.14","137.34","136.89","137.13"
"3/19/2019 13:00","137.13","137.34","137.04","137.06"
"3/19/2019 14:00","137.06","138","137.06","137.31"
"3/19/2019 15:00","137.31","137.41","137.16","137.34"
"3/19/2019 16:00","137.34","138","137.21","137.72"
"3/19/2019 17:00","137.72","138.46","137.59","137.61"
"3/19/2019 18:00","137.61","137.88","137.48","137.48"
"3/19/2019 19:00","137.48","137.93","137.27","137.8"
"3/19/2019 20:00","137.8","137.98","137.51","137.63"
"3/19/2019 21:00","137.63","137.73","137.15","137.53"
"3/19/2019 22:00","137.53","138","137.44","137.61"
"3/19/2019 23:00","137.61","138.08","137.61","138.08"
"3/20/2019 0:00","138.08","138.47","136.51","136.67"
"3/20/2019 1:00","136.67","137.12","136.67","136.9"
"3/20/2019 2:00","136.9","137.15","136.89","137.14"
"3/20/2019 3:00","137.14","137.14","136.92","136.94"
"3/20/2019 4:00","136.94","136.95","136.58","136.8"
"3/20/2019 5:00","136.8","137","136.73","136.99"
"3/20/2019 6:00","136.99","137.19","136.6","136.89"
"3/20/2019 7:00","136.89","137.19","136.64","136.96"
"3/20/2019 8:00","136.96","137.26","136.96","137.26"
"3/20/2019 9:00","137.26","137.26","135.57","135.7"
"3/20/2019 10:00","135.7","137.82","135.53","137.39"
"3/20/2019 11:00","137.39","138","137.39","137.6"
"3/20/2019 12:00","137.6","137.67","137.54","137.64"
"3/20/2019 13:00","137.64","138.04","137.64","137.67"
"3/20/2019 14:00","137.67","137.82","137.51","137.8"
"3/20/2019 15:00","137.8","137.99","137.35","137.63"
"3/20/2019 16:00","137.63","137.97","137.4","137.59"
"3/20/2019 17:00","137.59","137.59","137.26","137.33"
"3/20/2019 18:00","137.33","137.69","137.13","137.39"
"3/20/2019 19:00","137.39","137.54","137.26","137.54"
"3/20/2019 20:00","137.54","137.85","137.29","137.63"
"3/20/2019 21:00","137.63","137.99","137.51","137.8"
"3/20/2019 22:00","137.8","139.22","137.68","138.88"
"3/20/2019 23:00","138.88","139.01","138.43","138.67"
"3/21/2019 0:00","138.67","139.13","138.61","138.93"
"3/21/2019 1:00","138.93","139.05","137.4","138.3"
"3/21/2019 2:00","138.3","138.47","138.26","138.32"
