Date,Open,High,Low,Close,Market Cap
9/29/2016,604.24,606.52,603.86,604.87,9608233661
9/30/2016,604.87,607.2,603.51,607.2,9625056636
10/1/2016,607.2,616,607.2,614.04,9672728556
10/2/2016,614.04,614.04,607,610.5,9751859424
10/3/2016,610.5,613,610.4,612.91,9708717667
10/4/2016,612.91,612.99,609.05,609.98,9733733484
10/5/2016,609.98,613.94,609.67,612.38,9710120396
10/6/2016,612.38,613.19,611.27,611.8,9733991185
10/7/2016,611.8,617.99,610,617.99,9745567148
10/8/2016,617.99,618.15,616.96,617.99,9813354250
10/9/2016,617.99,618.38,615.18,616.06,9829461514
10/10/2016,616.06,617.99,614.73,617.37,9806177805
10/11/2016,617.37,640,617.3,640,9889612261
10/12/2016,640,640,634.74,635.33,10169210490
10/13/2016,635.33,640,634.64,635.45,10148540956
10/14/2016,635.45,641.59,632.44,636.93,10145419260
10/15/2016,636.93,639.67,633.23,635.17,10186166734
10/16/2016,635.17,640.68,635.17,639.58,10187142444
10/17/2016,639.58,639.58,634.52,637.79,10214470943
10/18/2016,637.79,638.88,633.69,635,10175795648
10/19/2016,635,637.29,625.69,628.61,10133207629
10/20/2016,628.61,629.55,622.83,629,10039051061
10/21/2016,629,631.87,628.23,630.15,10043294052
10/22/2016,630.15,657.47,630.15,656.06,10120149670
10/23/2016,656.06,664.54,648.78,650.51,10427927931
10/24/2016,650.51,650.51,645.36,648.73,10432613215
10/25/2016,648.73,658.99,648.25,649.56,10422779146
10/26/2016,649.56,678.55,646.99,668.82,10497917869
10/27/2016,668.82,683.26,668.82,680,10797490428
10/28/2016,680,690.32,679.99,688.99,10951847604
10/29/2016,688.99,722.21,688.98,715.94,11065312830
10/30/2016,715.94,715.94,695.23,700.01,11371851695
10/31/2016,700.01,707.7,685.04,697.7,11220944051
11/1/2016,697.7,736.61,697.7,730.48,11276820620
11/2/2016,730.48,734.99,720.04,734.99,11637082288
11/3/2016,734.99,746.15,674.98,685.62,11724179897
11/4/2016,685.62,707.83,685.61,706.98,11168875390
11/5/2016,706.98,711.34,698,706.33,11191924543
11/6/2016,706.33,714.91,698.85,711.15,11273377321
11/7/2016,711.15,711.16,701.24,709.29,11329028850
11/8/2016,709.29,713.99,704.01,713.6,11281286841
11/9/2016,713.6,739.85,709.68,721.48,11397478909
11/10/2016,721.48,721.48,705.99,710.99,11554243912
11/11/2016,710.99,718.07,710.92,715.23,11442472388
11/12/2016,715.23,715.23,698.99,700.31,11435301749
11/13/2016,700.31,704.12,684.46,702,11254118592
11/14/2016,702,708.46,696.37,707.03,11232670024
11/15/2016,707.03,716.85,705.54,712.44,11316513579
11/16/2016,712.44,742.81,710.36,739.99,11486896447
11/17/2016,739.99,750,733.5,736.03,11902599638
11/18/2016,736.03,750,735.61,748.13,11929347954
11/19/2016,748.13,755.5,745,750.98,12023658039
11/20/2016,750.98,751.99,710.03,727.36,12023072745
11/21/2016,727.36,738.73,725.45,737.48,11714229462
11/22/2016,737.48,751.67,733.52,748.35,11816461537
11/23/2016,748.35,748.35,732.18,742.41,11943631560
11/24/2016,742.41,745.72,728,737.99,11865465737
11/25/2016,737.99,741.75,730.25,741.28,11793501831
11/26/2016,741.28,742.54,724.49,736.45,11798743606
11/27/2016,736.45,736.45,728.35,728.35,11733874666
11/28/2016,728.35,734.6,724.81,732.99,11704132375
11/29/2016,732.99,735.36,731.88,732.36,11732212796
11/30/2016,732.36,745.5,732.36,742.11,11755037525
12/1/2016,742.11,757,742.11,753.99,11911703456
12/2/2016,753.99,777.05,753.99,774.14,12123065046
12/3/2016,774.14,774.98,760.51,766.47,12336528271
12/4/2016,766.47,769.97,763.02,765.69,12270408387
12/5/2016,765.69,765.99,743.73,754.88,12250031936
12/6/2016,754.88,759.38,752.13,758.99,12084650366
